AFFGEOID,Target Area
0500000US22001,57576.000000
0500000US51191,53935.000000
0500000US37021,269452.000000
0500000US23017,57777.000000
0500000US33009,91118.000000
0500000US16037,32926.061900
0500000US37139,40568.000000
0500000US38067,32926.061900
0500000US48175,32926.061900
0500000US19149,32926.061900
0500000US54081,74591.000000
0500000US40067,32926.061900
0500000US26143,32926.061900
0500000US13185,118251.000000
0500000US17047,24580.485525
0500000US28087,58879.000000
0500000US42091,856553.000000
0500000US42053,32926.061900
0500000US30013,84414.000000
0500000US42017,646538.000000
0500000US48405,32926.061900
0500000US41017,198253.000000
0500000US38099,32926.061900
0500000US08071,32926.061900
0500000US08057,32926.061900
0500000US48303,310639.000000
0500000US13289,32926.061900
0500000US12049,32926.061900
0500000US48409,68755.000000
0500000US54075,32926.061900
0500000US42101,1603797.000000
0500000US51023,33596.000000
0500000US53019,32926.061900
0500000US21101,44793.000000
0500000US54065,24858.171835
0500000US48225,32926.061900
0500000US13205,32926.061900
0500000US30081,44174.000000
0500000US53047,42104.000000
0500000US47141,79854.000000
0500000US45075,84223.000000
0500000US05095,32926.061900
